door_serial,Width of open door ${door_serial}  (inches),Height of open door  ${door_serial}   (inches),_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status
7,17.0,79.0,25,Air sampling ODK_v2,22,77239693,61ca05cc-84b9-4097-b968-1d00be0712eb,2020-12-03T16:21:05,
1,34.0,78.0,26,Air sampling ODK_v2,23,77239697,e2a8afd1-6d06-4715-b84b-3b8273d32f2e,2020-12-03T16:21:06,
2,34.0,78.0,27,Air sampling ODK_v2,23,77239697,e2a8afd1-6d06-4715-b84b-3b8273d32f2e,2020-12-03T16:21:06,
3,34.0,78.0,28,Air sampling ODK_v2,23,77239697,e2a8afd1-6d06-4715-b84b-3b8273d32f2e,2020-12-03T16:21:06,
4,34.0,78.0,29,Air sampling ODK_v2,23,77239697,e2a8afd1-6d06-4715-b84b-3b8273d32f2e,2020-12-03T16:21:06,
1,38.0,83.0,30,Air sampling ODK_v2,24,77922718,86f3fa97-dafb-46b6-84fc-4046674b2fb8,2020-12-09T13:51:32,
1,38.0,82.0,31,Air sampling ODK_v2,25,77922720,d55471f1-5517-4473-bbad-7ac159180dc7,2020-12-09T13:51:33,
1,40.0,81.0,32,Air sampling ODK_v2,27,77922735,30277235-dbec-43dd-96d7-d56c4cc99e31,2020-12-09T13:51:40,
2,40.0,81.0,33,Air sampling ODK_v2,27,77922735,30277235-dbec-43dd-96d7-d56c4cc99e31,2020-12-09T13:51:40,
3,46.0,82.0,34,Air sampling ODK_v2,27,77922735,30277235-dbec-43dd-96d7-d56c4cc99e31,2020-12-09T13:51:40,
1,27.0,124.0,35,Air sampling ODK_v2,28,77922738,cdfb8edc-cb9f-43ca-9c1b-1c8ab1c6db37,2020-12-09T13:51:41,
1,30.0,78.0,36,Air sampling ODK_v2,29,77675197,b51a1cba-4c00-4216-97ce-b254c5c88e72,2020-12-07T18:03:31,
1,48.0,92.0,37,Air sampling ODK_v2,30,77675201,f5670737-052c-4d76-b89c-276febd529b6,2020-12-07T18:03:33,
2,24.0,92.0,38,Air sampling ODK_v2,30,77675201,f5670737-052c-4d76-b89c-276febd529b6,2020-12-07T18:03:33,
3,30.0,81.0,39,Air sampling ODK_v2,30,77675201,f5670737-052c-4d76-b89c-276febd529b6,2020-12-07T18:03:33,
4,48.0,92.0,40,Air sampling ODK_v2,30,77675201,f5670737-052c-4d76-b89c-276febd529b6,2020-12-07T18:03:33,
