window_serial,Width of open window ${window_serial}  (inches),Height of open window  ${window_serial}   (inches),Type of window,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status
11,19.0,56.0,,14,Air sampling ODK_v2,7,75187809,be2ba747-26a8-417b-a344-a47724c1f623,2020-11-20T18:06:41,
12,32.0,52.0,,15,Air sampling ODK_v2,7,75187809,be2ba747-26a8-417b-a344-a47724c1f623,2020-11-20T18:06:41,
13,32.0,52.0,,16,Air sampling ODK_v2,7,75187809,be2ba747-26a8-417b-a344-a47724c1f623,2020-11-20T18:06:41,
14,32.0,52.0,,17,Air sampling ODK_v2,7,75187809,be2ba747-26a8-417b-a344-a47724c1f623,2020-11-20T18:06:41,
15,32.0,52.0,,18,Air sampling ODK_v2,7,75187809,be2ba747-26a8-417b-a344-a47724c1f623,2020-11-20T18:06:41,
16,32.0,52.0,,19,Air sampling ODK_v2,7,75187809,be2ba747-26a8-417b-a344-a47724c1f623,2020-11-20T18:06:41,
17,76.0,52.0,,20,Air sampling ODK_v2,7,75187809,be2ba747-26a8-417b-a344-a47724c1f623,2020-11-20T18:06:41,
18,19.0,52.0,,21,Air sampling ODK_v2,7,75187809,be2ba747-26a8-417b-a344-a47724c1f623,2020-11-20T18:06:41,
19,5.0,52.0,,22,Air sampling ODK_v2,7,75187809,be2ba747-26a8-417b-a344-a47724c1f623,2020-11-20T18:06:41,
1,22.0,71.0,,23,Air sampling ODK_v2,14,77922730,a922eec6-0a88-44cf-b986-0d25f05adb8f,2020-12-09T13:51:38,
1,33.0,52.0,,24,Air sampling ODK_v2,15,76978217,e8c0e9d3-c67e-45f3-9b55-26e117b01db7,2020-12-01T16:32:05,
1,32.0,52.0,,25,Air sampling ODK_v2,17,76978223,5758e9e5-eac0-4b8d-82e7-a0d3ab4bf070,2020-12-01T16:32:08,
